COD_ACTE,DT_MODIF,NOM_COURT
LHQJ002,2025-10-17,remno 3segt vertéb. +leur contenu +inject IV
LHQK001,2025-10-17,scan. 1segt vertéb. sans inj. IV prod. contraste
LHQK005,2025-10-17,scan. plus. segt vertéb. sans inj. IV prod. contraste
LHQN001,2025-10-17,remno 1/2segt vertéb. +son contenu sans inj. IV prod. contraste
LHQN002,2025-10-17,remno 3segt vertéb. +leur contenu sans inj. IV prod. contraste
MZQH001,2025-10-17,arthrographie mb sup. +scan.
MZQH002,2025-10-17,scan. segt mb sup. +inj. prod. contraste
MZQJ001,2025-10-17,remno segt mb sup. +inj. prod. contraste
MZQK002,2025-10-17,scan. segt mb sup.
MZQN001,2025-10-17,remno segt mb sup.
NZQH001,2025-10-17,scan. segt mb inf. +inj. prod. contraste
NZQH002,2025-10-17,arthrographie mb inf. +scan.
NZQH005,2025-10-17,scan. hanche +mb inf. pr CAO 1proth. o.artic sur mesure
NZQJ001,2025-10-17,remno segt mb inf. +inj. prod. contraste
NZQK002,2025-10-17,scan. segt mb inf.
NZQK004,2025-10-17,télémétrie des mb inf. scan.
NZQN001,2025-10-17,remno segt mb inf.
PDQK001,2025-10-17,quantif. des différents composants des tissus mous scan.
PDQN001,2025-10-17,quantif. des différents composants des tissus mous remno
QEQH002,2025-10-17,scan. sein +inject IV
QEQH204,2025-10-17,ANGIOMAMMOGRAPHIE SPECTRALE UNILATÉRALE OU BILATÉRALE
QEQJ001,2025-10-17,remno sein +inject IV
QEQK001,2025-10-17,mammographie bilat.
QEQK004,2025-10-17,mammographie dépist.
QEQK005,2025-10-17,mammographie unilat.
QEQK006,2025-10-17,scan. sein sans inj. IV prod. contraste
QEQN001,2025-10-17,remno sein sans inj. IV prod. contraste
YYYY034,2025-10-17,imagerie pr radio/cardio interv. niveau 14 en salle imagerie
YYYY105,2025-10-17,imagerie pr radio/cardio interv. niveau 1 en salle imagerie
YYYY110,2025-10-17,imagerie pr radio/cardio interv. niveau 2 en salle imagerie
YYYY120,2025-10-17,imagerie pr radio/cardio interv. niveau 3 en salle imagerie
YYYY130,2025-10-17,imagerie pr radio/cardio interv. niveau 9 en salle imagerie
YYYY140,2025-10-17,imagerie pr radio/cardio interv. niveau 4 en salle imagerie
DEGA210,2025-08-08,"Ablat.sonde déf rétroster de défibrillation cardiaque, abord infraxiph"
DEGA002,2025-08-08,abl. électrode épicardique définitive thor.tomie
FELF011,2025-07-17,transfu. CG 1<1/2masse
GELE001,2025-07-17,intub. fibro/dispositif laryngé particulier pdt 1AG
GELE004,2025-07-17,intub. fibro/dispositif laryngé particulier
GGJB001,2025-07-17,drainage 1épanchement cav. pleurale transcut. sans guid
GGJB005,2025-07-17,pose plus. drains thor. pr irrigation-lavage pleurale transcut.
GGJB006,2025-07-17,séance irrigation-lavage pleurale
GGJB007,2025-07-17,séance lavage pleural 1dispositif implanté
GGLB006,2025-07-17,pose 1drain thor. pr lavage pleural transcut.
GLHF001,2025-07-17,GdS (prélèv+mesures+pH) sans épreuve hyperoxie
GLHF002,2025-07-17,GdS (prélèv+mesures+pH) +épreuve hyperoxie
GLMF001,2025-07-17,adapt. des réglages 1ventil. non effractive gazom. répétées/24h
GLMP001,2025-07-17,adapt. 1PPCV +enregistr pression+autoadaptation/24h
GLQF001,2025-07-17,réglage O2thér. gazom. répétées/24h
GLQP001,2025-07-17,réglage O2thér. SaO2 chez enfant/24h
HLQM702,2025-07-17,ECHOGRAPHIE TRANSCUTANEE FOIE + INJ. INTRAVEINEUSE PRODUIT CONTRASTE
HPHB003,2025-07-17,pct 1épanchement périt. transcut.
HPJB001,2025-07-17,évac. 1épanchement intrapéritonéal transcut.
JDFE003,2025-07-17,résec. col vés. endos.
JDJD001,2025-07-17,évac. vessie cathé. transit
JDLD001,2025-07-17,pose 1sonde ur.vésic
JDLF001,2025-07-17,pose 1cathé. intravésical transcut. suprapubienne
JGFA014,2025-07-17,résec. palliative prostate urétrocystoscopie
JGFE023,2025-07-17,RÉSECT 1HYPERTROPHIE PROSTATE SANS LASER URÉTROCYSTOSCOPIE
JGFE365,2025-07-17,RÉSECT 1 HYPERTROPHIE PROSTATE + LASER URÉTROCYSTOSCOPIE
JGFE631,2025-07-17,Resec hypertroph prostate jet eau +prog écho avec guid uretrocysto
JGHB159,2025-07-17,biop cibl 1/plsrs lésio prost transpérin+guid écho+irm+fusion numériq
JGHB283,2025-07-17,biop cibl 1/plsrs lésio prost transrect+guid écho+irm+fusion cognitiv
JGHB300,2025-07-17,biop cibl 1/plsrs lésio prost transrect+guid écho+irm+fusion numériq
JGHB345,2025-07-17,biop cibl 1/plsrs lésio prost transpérin+guid écho+irm+fusion cognitiv
JGND002,2025-07-17,cryo prostate
JGND858,2025-07-17,"destruc lésion prostate ultrasons focalisés, voie rectale+guid écho"
JGNE171,2025-07-17,DESTRUC 1 HYPERTROPHIE PROSTATE LASER URÉTROCYSTOSCOPIE
JKGD003,2025-07-17,curetage cav. ut. diag.
JKHA001,2025-07-17,biopsie/frottis endomètre sans hystéroscopie
JKHA002,2025-07-17,biopsie col ut.
JKHD001,2025-07-17,prélèv. cervicovaginal
JLHA001,2025-07-17,biopsie vag.
JMHA001,2025-07-17,biopsie vulve
LFDA004,2025-07-17,arthrodèse intercorporéale lomb/lombo.s +arthrodèse post.lat ab. post.
LFDA012,2025-07-17,arthrodèse intercorporéale/épiphysiodèse lomb/lombo.s ab. post.
LGCA001,2025-07-17,O.S frac. sacrum ab. post.
PDNB120,2025-07-17,"séance destruc 1/plsrs tm desmoides par cryo, voie transcut+ guid scan"
PDNB429,2025-07-17,"séance destruc 1/plsrs tm desmoides par cryo, voie transcut+ guid irm"
YYYY015,2025-07-17,forfait réanimation niveau A
YYYY020,2025-07-17,forfait réanimation niveau B
YYYY041,2025-07-17,suppl. récupération perop. sang
YYYY058,2025-07-17,suppl. GdS pdt 1EFR niveau 1
YYYY186,2025-07-17,suppl. GdS pdt 1EFR niveau 2
YYYY232,2025-07-17,suppl. GdS pdt 1EFR niveau 3
ZZLP025,2025-07-17,AG/LR cplmtaire niveau 1
ZZQX042,2025-07-17,Test mutation génétique tumeur appareil respi pour thérapie ciblée
ZZQX231,2025-07-17,TEST DETERMINATION STATUT DEFICIENCE VOIE RECOMBINAISON HOMOLOGUE
ZZQX484,2025-07-17,Test mutation génétique tumeur côlon rectum pour thérapie ciblée
ZZQX784,2025-07-17,Test mutation génétique tumeur peau pour thérapie ciblée
AANB741,2025-07-17,DESTR CIBL INTRACEREB VISEE FONCTION PAR THERMOTHER INTERSTIST LASER
AAQP003,2025-07-17,surv. EEG continue sans vidéo/24h
AHFA012,2025-07-17,exérèse lipome qu.cheval +ferm. méningocèle/myéloméningocèle ab. post.
BGBA001,2025-07-17,tampnt int.segt post. fossette colobomateuse/trou maculaire pr DR
BGDA001,2025-07-17,rétinopexie cryo/Laser +indentation sclére >1quadrt +tampnt gaz
BGDA002,2025-07-17,rétinopexie cryo/Laser +indentation sclérale > 1quadrant sans tampnt
BGDA003,2025-07-17,rétinopexie cryo/Laser +indentation sclérale 1quadrt +tampnt gaz
BGDA004,2025-07-17,rétinopexie cryo/Laser +indentation sclérale 1quadt sans tampnt
BGDA005,2025-07-17,rétinopexie cryo/Laser +indentation sclérale sur 360° sans tampnt
BGDA006,2025-07-17,rétinopexie cryo/Laser +indentation sclérale sur 360° +tampnt int. gaz
BGDA007,2025-07-17,indentation transsclérale ballonnet
BGDA008,2025-07-17,rétinopexie cryo/Laser sans indentation +tampnt int. gaz
BGMA003,2025-07-17,modif. indentation sclérale pr décollt rétine persistant
BGNA001,2025-07-17,destruc. lés. choriorétinienne agent phys. sclérotomie
BGNP001,2025-07-17,séance photocoag choriorétine post. Laser monochrome/à colorants
BGNP002,2025-07-17,destruc. choriorétinienne cryoapplication
BGNP003,2025-07-17,destruc. choriorétinienne photocoagulation Laser à aide verre contact
BGNP004,2025-07-17,destruc. choriorétinienne photocoag Laser
BGNP006,2025-07-17,destruc. lés. choriorétinienne photocoagulation transsclérale
BGNP007,2025-07-17,destruc. choriorétin photocoag Laser à ophtalmoscope indirect
BGNP008,2025-07-17,séance photocoag choriorétine post. Laser argon/diode
BGQP007,2025-07-17,rétinographie couleur/lumière monochromatique sans inj.
BGRF001,2025-07-17,séance photothér dynamiq maculaire +inj. prod. Photosensibilisant
BHQP002,2025-07-17,gonioscopie oculaire
BZQP003,2025-07-17,biomicroscopie oeil aux ultrasons
CDMP014,2025-07-17,séance adapt & télérégl secondaires impl auditif électrod intracochlé
DCJB001,2025-07-17,drainage 1collection péricarde transcut.
DCJB002,2025-07-17,évac. 1collection péricarde transcut.
DELA169,2025-07-17,"implant. souscut défibr card + sonde rétroster, abord infraxiphoidien"
DEQP003,2025-07-17,ECG sur au moins 12dériv.
DERP004,2025-07-17,choc électrique card. transcut. urgence
DERP005,2025-07-17,stimul. card. temp. transcut.
DHQM001,2025-07-17,doppler VCSup +ses affluents chez enfant
DHQM002,2025-07-17,doppler VCI +ses affluents
EBQF001,2025-07-17,angio segt post oeil i.v. fluoresceine+ophtalmoscope à balayage laser
EBQF002,2025-07-17,angio segt post oeil i.v. fluoresceine+superposition images
EBQF004,2025-07-17,angio segt post oeil i.v. fluoresceine
EBQF005,2025-07-17,angio segt post oeil i.v. vert indocyanine
EBQF006,2025-07-17,angio segt post oeil i.v. vert indocyanine+opht.scope/laser
EFQM001,2025-07-17,doppler des vn des mb sup.
EHBD001,2025-07-17,tampnt varices oesogastr. sonde à ballonnet
EJSF400,2025-07-17,occlusion petite v saphène radiofrq par vv transcut + guid écho
EPLF002,2025-07-17,pose 1cathé ctr transcut.
EQLA665,2025-07-17,"POSE D'UN DACM TEMPORAIRE, MONOVENTRICULAIRE INTERNE ABORD VASC"
EQLF004,2025-07-17,pose dispositif mesure des pressions coeur dt +débit card. v.v
FEJF003,2025-07-17,saignée thérap.
FEJF006,2025-07-17,saignée thérap. +transfu. CG
FEJF008,2025-07-17,saignée thérap. +transfu. CG chez N-Né
FELF002,2025-07-17,transfu. PSL non érythrocytaire chez N-Né
FELF006,2025-07-17,transfu. PSL non érythrocytaire
FELF007,2025-07-17,transfu. CG 1vol. inf. à 40ml/kg chez N-Né
HBLD045,2025-01-31,Application vernis fluoré sur deux arcades dent
ADGA144,2025-01-09,ablat ou chang électrod détec respi de syst stimul nerf hypoglosse
AAQP005,2025-01-09,surv. ECoG perop. activité encéph. spontanée +/- provoquée
AGQP004,2025-01-09,surv. perop. des P.E > 4h
ADKA665,2025-01-09,ablat ou chang de générateur stimul nerf hypoglosse
ADGA286,2025-01-09,ablat ou chang électrod de stimul nerf hypoglosse
DAQL213,2025-01-09,tomoscinti. myocard par positons repo ap épreuv pharm+analyse quanti
AGQP005,2025-01-09,surv. perop. des P.E pdt 2à 4h
ADGA724,2025-01-09,ablat de syst électrod de stimul nerf hypoglosse
ADLA187,2025-01-09,Implant de syst de stimul du nerf hypoglosse
AGQP006,2025-01-09,surv. perop. des P.E < 2h
DAQL437,2025-01-09,tomosc. myocard par positons repo +épreuv pharm sans analyse quanti
DAQL384,2025-01-09,tomosc. myocard par positons au repos sans analyse quanti
DAQL214,2025-01-09,tomosc. myocard par positons au repos+analyse quanti
DAQL479,2025-01-09,tomosc. myocard par positons repo +épreuv pharm avec analyse quanti
DGLF332,2025-01-09,Endoproth fenetr ou multibr distale aorte asc+horiz voie art transcut
DAQL743,2025-01-09,tomosc. myocard par positons repo +épreuv pharm sans analyse quanti
DGLF756,2025-01-09,Endoproth fenetre ou multibranc distale aorte horiz voie art transcut
YYYY125,2025-01-09,guid remno.
YYYY189,2025-01-09,EEG pdt chir. endo thor/neurochir.
AAJA001,2024-11-04,évac. collection céréb. craniot.
AAJA005,2024-11-04,évac. collection intracrân. postop reprise craniot.
AAMP173,2024-11-04,RÉGLAGE SECOND PLUS. PARAMÈTRES SYST STIMUL CÉRÉBR PROF
AAKA001,2024-11-04,changt 1générateur sscut stimul. céréb.
AALF002,2024-11-04,perf. perop. protection parenchyme encéph. pdt 1itv +CEC
AAJH002,2024-11-04,évac. hématome céréb. non trauma transcrân. guid scan
AALA004,2024-11-04,implant. sscut 1générateur stimul. céréb.
AAJH003,2024-11-04,évac. collection céréb. transcrân. guid radio
AALA002,2024-11-04,implant. électrode subdurale pr ECoG craniot.
AAJH004,2024-11-04,évac. hématome céréb. non trauma transcrân. guid radio
AAGB001,2024-11-04,abl. électrode céréb. transcut.
AAGA900,2024-11-04,abl. électrode corticale céréb. craniot.
AAFA008,2024-11-04,résec. parenchyme cérébelleux pr infarctus expansif craniot.
AAJH001,2024-11-04,évac. collection céréb. transcrân. guid scan
AAJA002,2024-11-04,évac. hématome céréb. trauma craniot.
AAFA004,2024-11-04,hémisphérectomie fct craniot.
AAFA001,2024-11-04,exérèse T. intraparench cervelet craniot.
AAJA006,2024-11-04,parage plaie craniocéréb.
AAFA007,2024-11-04,excision 1zone épileptogène craniot.
AAFA002,2024-11-04,exérèse T. intraparench cerveau craniot.
AAJA003,2024-11-04,évac. hématome intracérébelleux craniot.
AAFA006,2024-11-04,résec. parenchyme céréb. pr infarctus expansif craniot.
AAJA004,2024-11-04,évac. hématome céréb. non trauma craniot.
AAFA003,2024-11-04,exérèse lés. tr. céréb. craniot.
AAFA005,2024-11-04,exérèse lés. corps calleux fornix/septum pellucide craniot.
AAQN903,2024-11-04,spectroscopie résonance magnétique céréb. phosphore
AAQP002,2024-11-04,EEG 8 DÉRIV / > CONTINUE AMBU ? 24 H [HOLTER EEG]
AAPA900,2024-11-04,déconnexion 1zone épileptogène craniot.
AAQN901,2024-11-04,remno fct cerveau fct phasiques
AAQM002,2024-11-04,écho transfontanellaire encéphale
AAQN900,2024-11-04,remno fct cerveau fct visuelles
AAQP004,2024-11-04,EEG perop. sur 8dériv. < 4h
AAMP387,2024-11-04,RÉGLAGE SECOND 1PARAMÈTRE SYST STIMUL CÉRÉBR PROF
AAMP003,2024-11-04,RÉGLAGE SECOND DES PARAMÈTRES CHAQUE PLOT SYST STIMUL CÉRÉBR PROF
AALB001,2024-11-04,implant. électrode céréb. thérap. stéréotax.
AALB002,2024-11-04,implant. électrode céréb. pr EEG stéréotax.
AANB001,2024-11-04,destruc. 1cible céréb. à visée fct stéréotax.
AALA900,2024-11-04,implant. électrode corticale céréb. thérap. craniot.
AAQN902,2024-11-04,spectroscopie résonance magnétique céréb. protonique
AAQN002,2024-11-04,spectroscopie résonance magnétique céréb. protonique loc.
AAQP007,2024-11-04,EEG 8 DÉRIV / > + ENREG AU - 20 MIN SANS NUMÉRIS SANS ENREG VIDÉO
AAQP009,2024-11-04,EEG 32 DÉRIV / > + QUANTIFICATION
AAQP008,2024-11-04,EEG perop. sur 8dériv. pdt 4h
AAQP006,2024-11-04,EEG 8 DÉRIV / >  DURÉE 1 À 4 H + ENREG VIDÉO
AAQP012,2024-11-04,surv. EEG continue +vidéo/24h
AAQP010,2024-11-04,EEG 8 DÉRIV / > DURÉE > 4 H + ENREG VIDÉO
AAQP011,2024-11-04,EEG 8 DÉRIV / > + ENREG AU - 20 MIN AU LIT DU MALADE
AAQP013,2024-11-04,surv. ECoG continue +vidéo/24h
HHMC001,2024-11-04,rétabl. IIre continuité dig. après colectomie coelio.
HHJE001,2024-11-04,exsufflation côlon endos.
HHQD900,2024-11-04,EMG pancolique
HHPC002,2024-11-04,colotomie thérap. coelio.
HHGE002,2024-11-04,abl. C.E côlon +/- rectum endos.
HHQD004,2024-11-04,EMG côlon sigmoïde
HHGE010,2024-11-04,abl. 1endoproth. côlon colo
HHLE005,2024-11-04,pose 1endoproth. côlon colo
HHQD445,2024-11-04,EXPLORATION DE LA LUMIÈRE DU COLON PAR VIDÉOCAPSULE INGÉRÉE
HHQE001,2024-11-04,colo. perop.
HHLH001,2024-11-04,pose 1endoproth. côlon guid radio
HHQD001,2024-11-04,mano côlon sigmoïde
HHNE001,2024-11-04,destruc. côlon +/- rectum sans laser colo. tot.
HHQD901,2024-11-04,mano pancolique
HHPC001,2024-11-04,colotomie explo. coelio.
HHNE003,2024-11-04,destruc. côlon +/- rectum Laser colo
HHMA002,2024-11-04,réfection stomie cut. intest. laparo
HHNE002,2024-11-04,destruc. côlon +/- rectum Laser colo. tot.
HHMA003,2024-11-04,rétabl. IIre continuité dig. après colectomie laparo
HHFE006,2024-11-04,séance mucosectomie colorect. endos.
HHNE004,2024-11-04,destruc. côlon +/- rectum sans laser colo
HHMC005,2024-11-04,réfection stomie cut. intest. coelio.
HHPA001,2024-11-04,colotomie thérap. laparo
HHPA002,2024-11-04,colotomie explo. laparo
HHQE002,2024-11-04,colo. tot. +franchissement orifice iléocolique
HHFA023,2024-11-04,colectomie transv. coelio/laparo +prépa. coelio.
HHFA028,2024-11-04,coloproctect. tot. +anast. iléoanale coelio/laparo +prépa. coelio.
HHQE003,2024-11-04,explo. cplt côlon après colectomie dte endos.
HHQE005,2024-11-04,colo. tot. +bas-fond cæcal sans franchisst iléocolique
HHQX005,2024-11-04,EXAM ANAPATH K PIÈCE EXÉRÈSE ENDOSC 1 / 2 LÉSIONS CÔLON & / RECTUM
HHQE004,2024-11-04,colo au delà côlon sigmoïde
HHFA024,2024-11-04,colectomie gche +libération ACG sans rétabl. continuité laparo
HHQJ002,2024-11-04,échoendos col. sans biopsie
HHQX004,2024-11-04,EXAM ANAPATH K PIÈCE EXÉRÈSE ENDOSC 3 À 5 LÉSIONS CÔLON & / RECTUM
HHQH001,2024-11-04,Rx côlon +opacification
HHFE004,2024-11-04,exérèse 1polype >1cm/4polypes côlon +/- rectum colo. tot.
HHFE005,2024-11-04,exérèse 1polype >1cm/4polypes côlon +/- rectum colo
EZNH001,2024-11-04,sclérose 1lés. vasc. o.artic 1mb inj. intralés. guid scan
EZNH002,2024-11-04,sclérose 1lés. vasc. o.artic 1mb inj. intralés. guid radio
EZPA001,2024-11-04,désobstruction 1accès A-V ab. direct
EZPF003,2024-11-04,désobstruct.. 1accès A-V +dilat. intraluminale +Stent vasc.transcut.
EZPF004,2024-11-04,désobstruction méc. accès A-V +dilat. intraluminale vasc.transcut.
EZPP002,2024-11-04,désobstruction loc. 1dispositif dériv. art.vn des mb
EZQA001,2024-11-04,explo. 1axe vasc.nf des mb/cou ab. direct
EZQH002,2024-11-04,angio. 1accès A-V 1mb vasc.transcut.
EZQH003,2024-11-04,angio. 1accès A-V 1mb intravasc.
EZQH004,2024-11-04,angio. perop.
EZQJ900,2024-11-04,restitution 3D informatisée pdt 1doppler des vssx périph.
EZQL001,2024-11-04,phlébo isotop. des mb
EZQL002,2024-11-04,mesure perméabilité capillaire méthode isotop.
EZQM001,2024-11-04,doppler 1FAV pr CEC
EZQM002,2024-11-04,doppler pr repér. préop péd. vasc. 1lambeau répar.
EZSA001,2024-11-04,ferm. 1accès A-V ab. direct
EZSA002,2024-11-04,hémostase 1accès A-V ab. direct
EZSA003,2024-11-04,ferm. 1faux anévr. 1accès A-V +reconstr. des axes vasc. ab. direct
EZSA004,2024-11-04,hémostase IIre à 1acte sur les vssx des mb ab. direct
HHFE002,2024-11-04,exérèse 1à 3polypes <1cm côlon +/- rectum colo. tot.
HHFC001,2024-11-04,polypectom. côlon colo. +ctrl coelio.
HHFA029,2024-11-04,coloproctect. tot. sans rétabl. continuité c lio/laparo +prépa. c lio.
HHFE001,2024-11-04,exérèse 1à 3polypes <1cm côlon +/- rectum colo
HHFC296,2024-11-04,COLECTOMIE DTE SANS RÉTABL. CONTINUITÉ COELIO.
HHFA030,2024-11-04,coloproctect. tot. sans rétabl. continuité laparo
HHFA031,2024-11-04,coloproctect. tot. +anast. iléoanale laparo
HHFA032,2024-11-04,kystectomie ovarienne par ab. vag. pdt 1itv par ab. vag.
HHFC040,2024-11-04,COLECTOMIE GCHE SANS LIBÉR. ACG SANS RÉTABL. CONTINUITÉ COELIO.
DELF001,2024-11-04,implant. sc stimul card définitif +2sonde sinus coro-VG+atriale/VD v.v
DELF005,2024-11-04,implant. sc 1stimul. card. définitif +2sonde cav. dtes v.v
DELF006,2024-11-04,pose sondes stimul temp v.v
DELF007,2024-11-04,implant. sc stimul card. définitif +pose 1sonde atriale/ventr. dte v.v
DELF010,2024-11-04,implant sc stimul card définitif +1sonde atriale+ventr. dte unique v.v
DELF011,2024-11-04,pose 1sonde ventr. dte pr stimul. card. temp. v.v
DELF012,2024-11-04,implant sc stimul card définitif +1sonde sinus coro pr VG v.v
DELF013,2024-11-04,implant. sc 1défibrillateur auto +pose 1sonde ventr. dte v.v
DELF014,2024-11-04,implant sc défibrillateur auto +1sde atriale dte +sde sinus coron v.v
DELF015,2024-11-04,implant. sc stimul card définitif +3sonde sinus coro-VG+atriale+VD v.v
